Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Afghanistan,AFG,255.7959409,248.9353126,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,387.267198,479.1125179,519.4232608,559.8304583,553.5421738,532.280218,504.603289,478.1921136,488.0759861,458.3707378,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Albania,ALB,..,..,..,..,474.1918498,471.8565193,561.8630352,527.183991,512.3447283,538.2954468,484.1590553,256.7257645,142.7366785,323.3980633,514.9311745,674.3663142,919.8603017,647.8258291,753.2131094,952.7733658,1040.517279,1191.775152,1305.447511,1688.841971,2145.128514,2400.211264,2680.164659,3128.041944,3720.058947,3407.816825,3407.209071,3666.629818,3455.042482,3673.64152,3774.663967,3234.697305,3415.934604,3672.836794,4201.077084,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Algeria,DZA,1446.347633,1602.757914,1648.040875,1766.806571,1918.019441,2015.544275,2260.147292,2263.560508,1947.202301,1760.801176,1868.877003,1357.326851,1426.999478,1436.385524,1184.544361,1123.329647,1194.812822,1245.695523,1289.365478,1224.961311,1284.50041,1324.005301,1332.039788,1540.403765,1884.99846,2059.255101,2286.545182,2760.184081,3434.417211,2923.520131,3401.323437,3959.591386,4054.128739,4040.921514,4105.623425,3283.164557,3272.986989,3248.465856,3098.851733,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Angola,AGO,..,..,..,..,..,426.5036819,440.8420933,364.9316022,329.99457,534.9158284,447.5851197,565.0058984,8.406950892,30.29559334,-26.32445367,105.3514138,95.08203447,150.6478827,172.8696509,55.55169733,11.12827859,98.11923834,342.4637533,437.0135285,440.968439,564.1634783,857.1232299,819.674137,367.1488349,735.0052177,1108.073495,1500.174725,1773.970533,2043.224671,2397.761383,2078.300917,1694.117828,1756.098041,1028.564719,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Argentina,ARG,2451.05945,2440.064891,2518.293822,3075.144764,2300.833988,2531.829964,3225.154035,3151.338876,3538.367938,1958.127847,3757.967903,5123.467905,6181.538277,6328.548309,6746.237057,6572.913815,6859.587277,7259.554214,7304.575066,6734.478942,6606.315206,6159.209567,2047.207657,2748.637565,3248.674301,3850.909541,4932.310862,6148.001944,7634.127279,6936.958171,8803.454618,10956.76217,11131.98044,11123.52746,10433.99318,11821.44997,10892.49927,12344.28413,9631.763691,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,403.0149285,441.1202137,470.3351715,535.8873847,522.6850036,541.8023411,606.1814508,680.5813428,815.0482417,1061.816754,1475.542759,1960.050793,2887.407373,3742.989236,2724.03046,2917.897805,3138.868524,3278.37915,3509.29072,3581.153371,3175.966901,3084.895327,3400.464274,3533.883531,..,..
Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,Aruba,ABW,..,..,..,..,..,..,5772.321848,6924.557626,8559.981435,10108.8346,10975.47534,12046.33341,12516.5662,13217.39503,14376.01767,14473.86159,14558.79692,15634.62542,16895.19608,16912.13995,18248.93639,17924.2653,16895.47684,18138.61076,19499.83139,16212.33116,20578.95344,19435.82538,23244.15421,21303.9638,19759.03205,19981.54334,21057.67212,21905.65081,22913.27122,23917.79671,24086.2794,24399.69325,..,..,..
