Consumption of Alcohol,P_MHD,DAUD,PDD,PAD,PADHD,DMSUD,PBD,ghs,media integrity,military expenditure,HDI,Adjusted net national income per capita,Current health expenditure,Current health expenditure per capita,Out-of-pocket expenditure,Unemployment,School enrollment primary,School enrollment secondary,School enrollment tertiary,LFE,rate-total
10.15,1023296.273,2.249648917089884,280182.07213600003,326869.611406,74809.77029310001,0.0018065768919817207,57708.00761189999,,0.7240000000000001,0.0297,0.691,1833.045341,,,,13.47900009,93.58280182,95.78276825,30.37958908,71.4,1.595498279
2.44,828769.2944,1.0574847480294072,271865.066485,195087.743214,70159.696104,0.0006159866474439808,59761.8924197,0.0972,0.773,0.0636,0.867,14995.43707,7.02626944,1488.161377,28.72549057,13.02900028,106.3178101,105.72830959999999,57.13031006,79.8,1.407705929
,543638.5906,3.3915040084964514,159013.835929,164821.772259,37698.2271208,0.00045751018031093134,34587.6984889,0.145,0.7929999999999999,0.0303,0.7490000000000001,4725.696023,,,,16.06399918,95.04631042,85.52604675,32.38116837,74.5,1.9516950380000002
12.58,1582981.379,1.252015725190422,518734.488475,547731.493127,83762.98266089999,0.0008677447482157568,98546.5781985,0.124,0.85,0.0204,0.773,10063.66346,,,,6.571000099,,,,75.7,1.375683461
5.69,263885.4468,1.755032778301397,67954.0524126,66882.47500830001,30576.63435927,0.0018006493312677585,12125.6087387,0.17,0.652,0.0273,0.66,3990.267173,6.19402504,398.57070919999995,4.99356318,17.86000061,,,20.84837914,60.2,0.912510987
9.07,4445144.731000002,8.100806829371168,1001856.17749,1402822.6396,334990.05416390003,0.008516360709924136,293491.433456,0.0991,0.825,0.0193,0.8079999999999999,4797.953918,5.80728388,465.70019529999996,28.04986191,17.74600029,94.52987671,99.58297729,63.5945816,75.2,2.1461909269999997
6.96,14900293.21,0.4081117343509986,4400454.7241199985,4352528.47474,529007.300146,0.04182895228291101,888240.9419120002,,0.765,0.00951,0.9,38100.75404,10.79159355,4336.106934,12.70128059,4.0,,,,83.6,2.365458151
0.06,20152560.74,0.2844605621589075,4108808.7405,5669765.7516,1280364.241959,9.12682993534074e-05,927535.146777,,0.393,0.0136,0.535,476.6296707,,,,2.670000076,110.8872604,44.06684113,9.431889534,64.8,0.49837713899999997
8.35,2624817.493,2.9662508873111655,693404.013337,1052981.69927,243621.8598914,0.00043872441027602727,135685.604998,,0.8,0.0205,0.818,9160.486093,7.0209198000000015,1077.8201900000001,33.40764236,6.65899992,103.2480698,89.50108337,75.93106842,79.3,2.020699555
3.72,148495.0025,4.957653636883661,46223.2768173,42210.2151994,7181.36067694,0.0002395683203669989,7310.56329553,0.0882,0.7859999999999999,0.00161,0.72,4866.53995,3.65428853,209.14854430000003,52.912998200000004,9.039999962000001,103.9352264,87.52902222,23.598939899999998,73.0,1.469680329
9.17,699485.2053,1.0294598702831317,161930.68974200002,338150.228215,62801.45184219999,0.004316734224444014,48479.5088625,,0.825,0.0121,0.905,26686.79393,9.64937401,3805.9716799999997,12.26525021,6.931000233,98.34792328,117.1061325,,81.0,1.777759628
6.0,368204.1023,0.5865346984492212,83149.4490168,92712.4715686,32970.8718782,0.010952287119012976,26058.3408038,0.135,0.711,0.0,0.755,4573.055672,6.84644938,489.81594850000016,28.232713699999998,3.426000118,107.4014435,68.78697205,43.38064957,78.1,1.396127098
7.02,1387800.965,3.2740458252507585,452204.905924,477673.335445,67887.1959278,0.0028795599329455085,97064.5669579,0.146,0.8909999999999999,0.0117,0.9009999999999999,40043.5211,8.20660114,4626.638672,16.30896568,6.235000134,98.71492004,101.3034973,70.73696136,81.0,1.545947682
8.68,1729990.069,0.21205804012104948,535635.3815649999,639299.161164,82258.0534179,0.016117290239311542,108439.191093,0.134,0.8290000000000001,0.0278,0.851,18572.91096,8.25866985,2052.8754879999997,36.0451088,9.008000374,97.67706299,100.76952359999999,90.0983429,79.6,0.427999949
10.15,1085559.985,2.2340286457611387,325018.04659600003,401079.208148,66922.0974532,0.04289797964934825,73662.67750399999,0.189,0.892,0.00853,0.9059999999999999,40905.16438,10.29438877,5673.94043,27.14404678,4.436999798,102.3071823,95.45321655,45.80414963,81.5,2.3823302440000003
1.43,429207.5117,0.1892468216476253,161334.77846600002,157592.758192,26462.75599742,0.0006510103723840001,32827.636668299994,0.0795,0.371,0.0487,0.8390000000000001,18218.97401,3.60699248,852.968811,48.45797729,5.929999828,,,,80.6,3.2222543989999997
,587063.3617,3.9004388733003337,117557.218781,132930.032781,69831.84956059999,0.003169974128443475,33348.3204452,0.0821,0.257,0.0171,0.526,..,,,,16.5,95.57465363,,,66.6,0.568301383
0.67,569584.1569,1.3547347270111656,132210.870445,152365.055848,55387.06735599999,0.0010521738091883194,18965.3448212,0.0989,0.68,0.00639,0.436,511.5541748,,,,2.9200000760000004,65.31852722,,,56.0,2.258909748
,169513.4592,19.44499023676748,69334.1687969,41792.8784761,11097.27409656,0.06552920381939148,10132.768958,0.115,0.882,0.0145,0.825,5881.487252,5.05801439,524.6801148,22.63690186,8.032999992,98.90731049,102.78907779999999,67.91280365,72.9,2.059996986
0.2,3589315.4680000013,0.42702085044438215,763249.045221,1161524.02996,339968.26705799997,0.0005282126466318762,178946.231166,,0.498,0.0214,0.589,1868.877003,,,,24.37999916,96.4796524,57.57250977,11.14538002,72.5,0.89838706
2.12,385089.7478,3.365282663386404,88233.4772673,79501.2816285,42579.59590769999,0.00022997640611577847,13748.829605,,0.494,0.0157,0.314,399.1407017,,,,3.773999929,67.10072327,11.93229008,1.54084003,46.9,0.615520297
8.76,771664.083,7.078494576043648,283937.987666,196118.86002,58161.76347190001,0.02338028019931841,54182.6841163,,0.883,0.0146,0.9179999999999999,38691.99014,9.78115082,4922.675781,17.63744736,8.663000107,100.6207199,146.4275665,88.88166046,81.3,1.700783865
0.06,24806465.43,0.29885374622343874,5365325.61376,7097945.1321899975,1426948.517113,0.00015481713805019467,1187406.37121,0.0497,0.703,0.0075099999999999984,0.633,782.7891184,2.58409047,35.50515366,54.21069717,7.945000172,107.9554367,60.15428925,17.22629929,68.5,0.525619026
,45380841.52,2.7618394477499866,14046919.6321,20148979.4696,3101322.0763490004,0.012644063429309757,1890561.8486,0.198,0.8,0.0404,0.899,35553.45486,14.70215797,6821.107422,13.47142792,4.623000145,102.2010422,94.73130035,83.07769775,77.8,1.621142812
0.25,1679749.525,1.5924810691936404,330819.490531,359387.965897,213641.6717933,0.00033354338787207745,75090.1309014,,0.735,0.0121,0.501,1151.130348,4.39605856,61.31621170000001,50.44826889,7.611000061,85.57350159,50.25534821,10.71125984,67.2,1.191065524
1.19,1526709.237,0.26976570874149736,371557.24517,501756.969749,178950.3439288,0.00022359128862801817,83520.44939239997,0.0907,0.34,0.0166,0.6729999999999999,1785.247882,5.46378517,150.8267059,40.89639664,14.51000023,113.5702896,77.37941742,27.45470047,75.2,0.674536907
4.95,3315139.812,1.2479819830939172,587797.53375,1151409.90349,409797.421855,0.003366221075259168,243320.872849,0.208,0.736,0.0123,0.715,2424.089676,4.4459281,189.5574036,44.01800537,4.05700016,111.3989334,88.22151947,,77.9,0.804445645
4.7,66992.80751,3.217180072771288,17919.6083765,21430.0288935,11131.518164399999,0.0007933203628225101,4152.00569095,0.12,,,,1193.020237,5.23449087,173.2046356,23.54932213,10.31900024,,,,69.5,3.620130913
6.99,36474.7993,2.887780998331788,7092.07111483,12437.0909208,7258.37719021,0.0004777107772163179,2421.69056932,0.106,,0.0107,0.6779999999999999,2907.615094,5.23698997,226.0124054,24.83691788,8.510000229,113.11682890000002,75.31014252,18.18181992,73.2,1.358553938
